symbol,price_code,company_name,industry,exchange,sic_code
ADLI,GOOG/PINK_ADLI,American Dental Tech.,Medical Supplies,PINK,8060
ADLS,GOOG/PINK_ADLS,Advanced Life Sciences Hldgs,Drug,PINK,2834
ADM,GOOG/NYSE_ADM,Archer-Daniels-Midland Company,Food Processing,NYSE,2000
ADMP,GOOG/PINK_ADMP,Adamis Pharmaceuticals Corp,Drug,PINK,2834
ADMT,GOOG/PINK_ADMT,Adm Tronics Unlimited Inc,Chemical (Specialty),PINK,
ADNC,GOOG/NASDAQ_ADNC,Audience Inc.,Semiconductor,NASDAQ,3674
ADNT,GOOG/PINK_ADNT,Ardent Mines Limited,Precious Metals,PINK,1041
ADNY,GOOG/PINK_ADNY,Adino Energy Corp,Oil/Gas Distribution,PINK,4610
ADP,GOOG/NASDAQ_ADP,Automatic Data Processing,Computer Software & Svcs,NASDAQ,3579
ADS,GOOG/NYSE_ADS,Alliance Data Systems Corp.,Information Services,NYSE,
ADSK,GOOG/NASDAQ_ADSK,Autodesk,Computer Software & Svcs,NASDAQ,3579
ADST,GOOG/PINK_ADST,AdStar.com Inc.,Advertising,PINK,7310
ADSV,GOOG/PINK_ADSV,Allied Security Innovations,Computers/Peripherals,PINK,3573
ADT,GOOG/NYSE_ADT,ADT Corp. (The),Electronics,NYSE,3670
ADTN,GOOG/NASDAQ_ADTN,Adtran,Telecom. Services,NASDAQ,4810
ADUS,GOOG/NASDAQ_ADUS,Addus Homecare Corp.,Medical Services,NASDAQ,8000
ADVC,GOOG/PINK_ADVC,Advant-E Corporation,Computer Software/Svcs,PINK,3579
ADVS,GOOG/NASDAQ_ADVS,Advent Software,Computer Software & Svcs,NASDAQ,3579
ADX,GOOG/NYSE_ADX,Adams Express Company,Investment Co.,NYSE,6730
ADXM,GOOG/PINK_ADXM,Adex Media Inc.,Internet,PINK,7370
ADY,GOOG/NYSE_ADY,Feihe International,Food Processing,NYSE,2000
ADZR,GOOG/PINK_ADZR,AdZone Reasearch Inc.,Industrial Services,PINK,7300
AE,GOOG/AMEX_AE,Adams Resources & Energy,Petroleum (Producing),AMEX,1300
AEC,GOOG/NYSE_AEC,Associated Estates Realty Corp.,R.E.I.T.,NYSE,6720
AEE,GOOG/NYSE_AEE,Ameren Corp.,Electric Util. (Central),NYSE,4912
AEG,GOOG/NYSE_AEG,Aegon Nv,Insurance (Life),NYSE,6310
AEGG,GOOG/PINK_AEGG,The American Energy Group Ltd,Petroleum (Producing),PINK,1300
AEGN,GOOG/NASDAQ_AEGN,Aegoin Corp,Medical Supplies,NASDAQ,8060
AEGR,GOOG/NASDAQ_AEGR,Aegerion Pharmaceuticals,Biotechnology,NASDAQ,2830
AEHR,GOOG/NASDAQ_AEHR,Aehr Test Systems,Electronics,NASDAQ,3670
AEIS,GOOG/NASDAQ_AEIS,Advanced Energy Industries,Semiconductor,NASDAQ,3674
AEL,GOOG/NYSE_AEL,American Equity Investment Life,Insurance (Life),NYSE,6310
AEM,GOOG/NYSE_AEM,Agnico-Eagle Mines Limited,Gold/Silver Mining,NYSE,1041
AENG,GOOG/PINK_AENG,Advanced Engine Technologies I,Machinery,PINK,3500
AENP,GOOG/PINK_AENP,American Energy Production In,Petroleum (Producing),PINK,1300
AEO,GOOG/NYSE_AEO,American Eagle Outfitters,Retail (Special Lines),NYSE,5600
AEP,GOOG/NYSE_AEP,American Electric Power Company,Electric Utility (East),NYSE,4911
AEPI,GOOG/NASDAQ_AEPI,Aep Industries Inc.,Chemical (Specialty),NASDAQ,2820
AER,GOOG/NYSE_AER,Aercap Holdings N.V.,Industrial Services,NYSE,7300
AERG,GOOG/PINK_AERG,Applied Energetics Inc,Chemical (Specialty),PINK,2820
AERL,GOOG/NASDAQ_AERL,Asia Entertainment & Resources Ltd,Hotel/Gaming,NASDAQ,7000
AERO,GOOG/PINK_AERO,Aero Grow International Inc,Retail (Special Lines),PINK,5600
AERS,GOOG/PINK_AERS,Aero System Engineer,Aerospace/Defense,PINK,3720
AERT,GOOG/PINK_AERT,Advanced Environ Recycling Tec,Building Materials,PINK,3200
AES,GOOG/NYSE_AES,The Aes Corp.,Electric Utility (West),NYSE,4913
